Currency,Rate
AED,3.67
AFN,65.56
ALL,81.58
AMD,378.43
ANG,1.79
AOA,919.54
ARS,1452.25
AUD,1.45
AWG,1.79
AZN,1.7
BAM,1.65
BBD,2
BDT,122.05
BGN,1.6
BHD,0.376
BIF,2963.2
BMD,1
BND,1.27
BOB,6.88
BRL,5.28
BSD,1
BTN,91.79
BWP,13.52
BYN,2.85
BZD,2
CAD,1.37
CDF,2229.79
CHF,0.777
CLF,0.0219
CLP,866.06
CNH,6.95
CNY,6.97
COP,3620.5
CRC,494.31
CUP,24
CVE,92.92
CZK,20.43
DJF,177.72
DKK,6.29
DOP,62.62
DZD,129.54
EGP,47.06
ERN,15
ETB,154.62
EUR,0.843
FJD,2.21
FKP,0.732
FOK,6.29
GBP,0.732
GEL,2.69
GGP,0.732
GHS,10.9
GIP,0.732
GMD,74.01
GNF,8733.71
GTQ,7.67
GYD,208.74
HKD,7.8
HNL,26.36
HRK,6.35
HTG,130.8
HUF,321.54
IDR,16753.85
ILS,3.13
IMP,0.732
INR,91.8
IQD,1306.41
IRR,1074729.95
ISK,122.78
JEP,0.732
JMD,156.6
JOD,0.709
JPY,154.2
KES,128.86
KGS,87.36
KHR,4006.7
KID,1.45
KMF,414.58
KRW,1444.38
KWD,0.307
KYD,0.833
KZT,502.86
LAK,21540.12
LBP,89500
LKR,309.33
LRD,183.9
LSL,16.03
LYD,6.35
MAD,9.09
MDL,16.9
MGA,4501.82
MKD,52.21
MMK,2102.06
MNT,3536.8
MOP,8.03
MRU,39.87
MUR,45.6
MVR,15.45
MWK,1740.39
MXN,17.36
MYR,3.97
MZN,63.55
NAD,16.03
NGN,1416.76
NIO,36.78
NOK,9.78
NPR,146.87
NZD,1.67
OMR,0.384
PAB,1
PEN,3.35
PGK,4.27
PHP,59.1
PKR,279.87
PLN,3.55
PYG,6683.62
QAR,3.64
RON,4.3
RSD,99.18
RUB,76.5
RWF,1457.76
SAR,3.75
SBD,7.99
SCR,14.55
SDG,478.35
SEK,8.95
SGD,1.27
SHP,0.732
SLE,23.4
SLL,23396.75
SOS,568.94
SRD,38.08
SSP,4685.49
STN,20.65
SYP,112.67
SZL,16.03
THB,31.12
TJS,9.3
TMT,3.5
TND,2.86
TOP,2.38
TRY,43.39
TTD,6.78
TVD,1.45
TWD,31.45
TZS,2549.17
UAH,43.18
UGX,3533.53
USD,1
UYU,37.59
UZS,12111.99
VES,358.92
VND,26091.13
VUV,119.65
WST,2.71
XAF,552.78
XCD,2.7
XCG,1.79
XDR,0.722
XOF,552.78
XPF,100.56
YER,238.44
ZAR,16.02
ZMW,19.69
ZWG,25.6
ZWL,25.6
